No,PROVINSI,2010,2011,2012,2013,2014,2015
1,Aceh,5.00,0,13.00,0,155.66,0
2,Bali,10.10,0,250.00,60.50,30.00,0
3,Bangka Belitung,0,0,0,0,0,0
4,Banten,0,0,0,0,2.00,0
5,Bengkulu,0,0.50,0,0,5.25,0
6,DKI Jakarta,0,0,0,0,0,0
7,Gorontalo,0,0,0,0,0,0
8,Jambi,2.50,89.00,11.25,199.10,3.470.61,2.217.00
9,Jawa Barat,0,1.278.55,1.945.50,252.80,552.69,1.029.70
10,Jawa Tengah,0,712.24,454.00,31.20,159.76,424.73
11,Jawa Timur,204.90,48.35,2.960.05,1.352.14,4.975.32,553.30
12,Kalimantan Barat,0,0,577.40,22.70,3.556.10,995.32
13,Kalimantan Selatan,0,0,60.50,417.50,341.00,185.70
14,Kalimantan Tengah,0,22.00,55.15,3.10,4.022.85,1.220.40
15,Kalimantan Timur,0,148.80,51.50,0,325.19,109.00
16,Kalimantan Utara,0,0,0,0,0,0
17,Kepulauan Riau,0,0,0,0,0,0
18,Lampung,106.00,31.00,0,0,22.80,10.00
19,Maluku,0,0,0,0,179.83,0
20,Maluku Utara,10.00,0,0,0,6.50,0
21,Nusa Tenggara Barat,2.00,0,0,12.00,3.977.55,0
22,Nusa Tenggara Timur,95.00,0,553.20,649.90,980.87,3.05
23,Papua,39.00,0,0,0,300.00,177.40
24,Papua Barat,1.12,0,0,0,0,0
25,Riau,26.00,74.50,1.060.00,1.077.50,6.301.10,2.643.00
26,Sulawesi Barat,0,0,0,0,0,0
27,Sulawesi Selatan,28.00,31.75,45.30,40.50,618.58,55.60
28,Sulawesi Tengah,0,0,30.83,1.00,70.73,0
29,Sulawesi Tenggara,16.00,85.90,346.10,13.00,2.410.86,284.31
30,Sulawesi Utara,0,0,1.80,0.25,236.06,0
31,Sumatera Barat,56.00,0,3.50,0,120.50,0.25
32,Sumatera Selatan,0,84.50,0,484.15,8.504.86,476.57
33,Sumatera Utara,80.00,5.00,1.181.00,295.40,3.219.90,146.00
34,Yogyakarta,2.818.50,0,6.45,6.00,0.27,0
